2020-07-12 14:16:32,502 DEBUG    [client] function "receive_message" called from "<module>", params = (<socket.socket fd=616, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10827), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:16:32,502 INFO     [client] <- Received message from ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552591, 'to': '#test', 'from': 'test', 'message': 'test'}
2020-07-12 14:16:32,503 DEBUG    [client] function "parse_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552591, 'to': '#test', 'from': 'test', 'message': 'test'},), {}
2020-07-12 14:16:32,503 INFO     [client] Got MESSAGE from server: "test"
2020-07-12 14:16:32,503 DEBUG    [client] function "form_text_message" called from "<module>", params = ('test', '#test', 'test'), {}
2020-07-12 14:16:32,504 DEBUG    [client] Formed MESSAGE from user "test" to "#test": "test"
2020-07-12 14:16:32,504 DEBUG    [client] function "send_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552592, 'to': '#test', 'from': 'test', 'message': 'test'}, <socket.socket fd=616, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10827), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:16:32,504 INFO     [client] -> Sent message to ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552592, 'to': '#test', 'from': 'test', 'message': 'test'}
2020-07-12 14:16:33,506 DEBUG    [client] function "receive_message" called from "<module>", params = (<socket.socket fd=616, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10827), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:16:33,506 INFO     [client] <- Received message from ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552592, 'to': '#test', 'from': 'test', 'message': 'test'}
2020-07-12 14:16:33,508 DEBUG    [client] function "parse_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552592, 'to': '#test', 'from': 'test', 'message': 'test'},), {}
2020-07-12 14:16:33,508 INFO     [client] Got MESSAGE from server: "test"
2020-07-12 14:16:33,509 DEBUG    [client] function "form_text_message" called from "<module>", params = ('test', '#test', 'test'), {}
2020-07-12 14:16:33,509 DEBUG    [client] Formed MESSAGE from user "test" to "#test": "test"
2020-07-12 14:16:33,511 DEBUG    [client] function "send_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552593, 'to': '#test', 'from': 'test', 'message': 'test'}, <socket.socket fd=616, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10827), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:16:33,511 INFO     [client] -> Sent message to ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552593, 'to': '#test', 'from': 'test', 'message': 'test'}
2020-07-12 14:16:34,512 DEBUG    [client] function "receive_message" called from "<module>", params = (<socket.socket fd=616, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10827), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:16:34,512 INFO     [client] <- Received message from ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552593, 'to': '#test', 'from': 'test', 'message': 'test'}
2020-07-12 14:16:34,513 DEBUG    [client] function "parse_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552593, 'to': '#test', 'from': 'test', 'message': 'test'},), {}
2020-07-12 14:16:34,513 INFO     [client] Got MESSAGE from server: "test"
2020-07-12 14:16:34,514 DEBUG    [client] function "form_text_message" called from "<module>", params = ('test', '#test', 'test'), {}
2020-07-12 14:16:34,514 DEBUG    [client] Formed MESSAGE from user "test" to "#test": "test"
2020-07-12 14:16:34,514 DEBUG    [client] function "send_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552594, 'to': '#test', 'from': 'test', 'message': 'test'}, <socket.socket fd=616, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10827), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:16:34,514 INFO     [client] -> Sent message to ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552594, 'to': '#test', 'from': 'test', 'message': 'test'}
2020-07-12 14:16:35,515 DEBUG    [client] function "receive_message" called from "<module>", params = (<socket.socket fd=616, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10827), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:16:35,515 INFO     [client] <- Received message from ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552594, 'to': '#test', 'from': 'test', 'message': 'test'}
2020-07-12 14:16:35,516 DEBUG    [client] function "parse_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552594, 'to': '#test', 'from': 'test', 'message': 'test'},), {}
2020-07-12 14:16:35,516 INFO     [client] Got MESSAGE from server: "test"
2020-07-12 14:16:35,516 DEBUG    [client] function "form_text_message" called from "<module>", params = ('test', '#test', 'test'), {}
2020-07-12 14:16:35,516 DEBUG    [client] Formed MESSAGE from user "test" to "#test": "test"
2020-07-12 14:16:35,517 DEBUG    [client] function "send_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552595, 'to': '#test', 'from': 'test', 'message': 'test'}, <socket.socket fd=616, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10827), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:16:35,517 INFO     [client] -> Sent message to ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552595, 'to': '#test', 'from': 'test', 'message': 'test'}
2020-07-12 14:16:36,518 DEBUG    [client] function "receive_message" called from "<module>", params = (<socket.socket fd=616, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10827), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:16:36,518 INFO     [client] <- Received message from ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552595, 'to': '#test', 'from': 'test', 'message': 'test'}
2020-07-12 14:16:36,519 DEBUG    [client] function "parse_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552595, 'to': '#test', 'from': 'test', 'message': 'test'},), {}
2020-07-12 14:16:36,519 INFO     [client] Got MESSAGE from server: "test"
2020-07-12 14:16:36,519 DEBUG    [client] function "form_text_message" called from "<module>", params = ('test', '#test', 'test'), {}
2020-07-12 14:16:36,519 DEBUG    [client] Formed MESSAGE from user "test" to "#test": "test"
